epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/stenosis,val/F1,val/ema_mAP_30,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_30,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
6,1595,,,,,,,,,,,,,,,,,,,,,,0.04052993655204773,0.24549917876720428,0.33285656571388245,0.19646386802196503,0.052672434598207474,0.22312599420547485,8.517679214477539,0.33810243010520935,0.1792268007993698,0.04052993655204773,0.0024402718991041183,0.23676235973834991,0.38860103487968445,0.17942583560943604
6,1595,3877.75244140625,3848.0224609375,3871.404541015625,3879.698486328125,0.0007026195526123047,7.882845878601074,0.041248515248298645,0.0420193113386631,0.0410795621573925,0.044573742896318436,0.9253807663917542,0.94271320104599,0.9359724521636963,0.9286859631538391,0.4108668863773346,0.40849846601486206,0.40704503655433655,0.4263356328010559,,,,,,,,,,,,,,,,,
7,1599,,,,,,,,,,,,,,,,,,,8.76644771778956e-05,8.76644771778956e-05,2.833810412994353e-06,,,,,,,,,,,,,,
7,1649,,,,,,,,,,,,,,,,,,,9.040570148499683e-05,9.040570148499683e-05,2.922422254414414e-06,,,,,,,,,,,,,,
7,1699,,,,,,,,,,,,,,,,,,,9.314693306805566e-05,9.314693306805566e-05,3.0110343232081505e-06,,,,,,,,,,,,,,
7,1749,,,,,,,,,,,,,,,,,,,9.588815737515688e-05,9.588815737515688e-05,3.0996461646282114e-06,,,,,,,,,,,,,,
7,1799,,,,,,,,,,,,,,,,,,,9.862938895821571e-05,9.862938895821571e-05,3.188258233421948e-06,,,,,,,,,,,,,,
7,1823,,,,,,,,,,,,,,,,,,,,,,0.048402607440948486,0.27393731474876404,0.347006618976593,0.2116423100233078,0.05563817173242569,0.23317384719848633,8.484539031982422,0.34198710322380066,0.1848616600036621,0.048402607440948486,0.00944635458290577,0.2605263292789459,0.2967441976070404,0.25438597798347473
7,1823,3876.587890625,3842.468017578125,3868.716064453125,3869.7685546875,-1.9659076144762366e-07,7.678574562072754,0.03928680717945099,0.03956378996372223,0.03943251818418503,0.04191457852721214,0.9030455350875854,0.9338996410369873,0.9111888408660889,0.9264905452728271,0.39916402101516724,0.393891304731369,0.39782577753067017,0.41059932112693787,,,,,,,,,,,,,,,,,
8,1849,,,,,,,,,,,,,,,,,,,9.999985195463523e-05,9.999985195463523e-05,3.2325594929716317e-06,,,,,,,,,,,,,,
