epoch,step,test/AP/stenosis,test/F1,test/loss,test/mAP_30,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/stenosis,val/F1,val/ema_mAP_30,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_30,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
5,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.847587792435661e-05,6.847587792435661e-05,2.2135266135592246e-06,,,,,,,,,,,,,,
5,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.121710223145783e-05,7.121710223145783e-05,2.302138682352961e-06,,,,,,,,,,,,,,
5,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.395833381451666e-05,7.395833381451666e-05,2.390750523773022e-06,,,,,,,,,,,,,,
5,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03803650289773941,0.2515723407268524,0.28001877665519714,0.13366900384426117,0.02941814810037613,0.2531898021697998,10.533344268798828,0.29364636540412903,0.16022522747516632,0.03803650289773941,0.0036781267262995243,0.2732057273387909,0.3669724762439728,0.19138756394386292
5,1367,,,,,,,,,,,3843.70556640625,3829.658203125,3863.7939453125,3864.51708984375,3867.6748046875,0.01208933163434267,10.004653930664062,0.04070160165429115,0.04007459431886673,0.04030294716358185,0.04047171398997307,0.04157256707549095,0.9679288864135742,1.0216169357299805,0.9962305426597595,0.9776410460472107,1.0241812467575073,0.4057494103908539,0.3905065059661865,0.397513747215271,0.40251603722572327,0.4044272005558014,,,,,,,,,,,,,,,,,
6,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.669955812161788e-05,7.669955812161788e-05,2.4793625925667584e-06,,,,,,,,,,,,,,
6,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.944078970467672e-05,7.944078970467672e-05,2.5679744339868193e-06,,,,,,,,,,,,,,
6,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.218201401177794e-05,8.218201401177794e-05,2.6565865027805557e-06,,,,,,,,,,,,,,
6,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.492324559483677e-05,8.492324559483677e-05,2.7451983442006167e-06,,,,,,,,,,,,,,
6,1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03870822861790657,0.2439526468515396,0.3495576083660126,0.18614840507507324,0.04392262548208237,0.25885167717933655,10.627952575683594,0.3421284556388855,0.16644737124443054,0.03870822861790657,0.004572359379380941,0.24489633738994598,0.343976765871048,0.18899521231651306
