Run: dataset2_augs
Path: /home/dsa/stenosis/rfdetr_runs/dataset2_augs
Config: T=1 (single-frame)  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  frames=2215
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p29_v10            11   11   0.023  0.004  0.000  0.001   0.032  0.017  0.182  0.070      0  0.0000
  p29_v11            14   14   0.387  0.283  0.006  0.059   0.381  0.286  0.571  0.210      3  0.2143
  p29_v4              6    6   0.571  0.571  0.000  0.159   0.522  0.353  1.000  0.170      0  0.0000
  p29_v5              4    4   0.695  0.008  0.000  0.001   0.014  0.007  0.750  0.020      0  0.0000
  p30_v1              6    6   0.897  0.578  0.000  0.157   0.667  1.000  0.500  0.600      0  0.0000
  p30_v2             19   19   0.936  0.115  0.000  0.016   0.316  0.316  0.316  0.370      1  0.0526
  p30_v3             21   21   0.986  0.181  0.000  0.023   0.381  0.381  0.381  0.300      2  0.0952
  p30_v5             19   19   0.907  0.100  0.000  0.011   0.235  0.267  0.211  0.410      0  0.0000
  p30_v6              1    1   1.000  1.000  0.000  0.208   1.000  1.000  1.000  0.190      0  0.0000
  p30_v7             14   14   1.000  0.011  0.000  0.001   0.095  0.143  0.071  0.660      0  0.0000
  p31_v10            20   40   0.350  0.010  0.000  0.001   0.043  0.025  0.150  0.060      1  0.0250
  p31_v11             5   10   0.570  0.015  0.002  0.006   0.073  0.044  0.200  0.090      0  0.0000
  p31_v12            13   29   0.420  0.028  0.000  0.004   0.083  0.105  0.069  0.230      0  0.0000
  p31_v13             1    2   0.750  0.023  0.000  0.005   0.043  0.022  0.500  0.030      0  0.0000
  p31_v18             2    2   0.518  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p31_v21            16   16   0.008  0.005  0.000  0.001   0.018  0.010  0.125  0.060      0  0.0000
  p31_v5             14   14   0.677  0.238  0.000  0.047   0.250  1.000  0.143  0.420      0  0.0000
  p31_v6             18   22   0.787  0.111  0.000  0.020   0.286  0.300  0.273  0.360      0  0.0000
  p31_v7             12   18   0.150  0.061  0.000  0.007   0.105  1.000  0.056  0.440      0  0.0000
  p31_v8             19   19   0.012  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p32_v10            25   25   0.710  0.002  0.000  0.000   0.037  0.034  0.040  0.410      0  0.0000
  p32_v3             33   33   0.289  0.001  0.000  0.000   0.027  0.024  0.030  0.430      0  0.0000
  p32_v4             32   32   0.356  0.000  0.000  0.000   0.013  0.009  0.031  0.130      0  0.0000
  p32_v8             19   19   0.974  0.041  0.000  0.005   0.146  0.136  0.158  0.460      0  0.0000
  p32_v9             13   13   0.195  0.000  0.000  0.000   0.002  0.001  0.077  0.020      0  0.0000
  p34_v10            12    6   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p34_v6             12   12   0.467  0.179  0.000  0.056   0.324  0.240  0.500  0.250      0  0.0000
  p34_v8             25   43   0.390  0.247  0.002  0.079   0.344  0.524  0.256  0.380      4  0.0930
  p34_v9             21   21   0.818  0.685  0.022  0.201   0.698  0.682  0.714  0.320      3  0.1429
  p35_v11             5    5   0.967  0.147  0.000  0.049   0.286  0.500  0.200  0.420      0  0.0000
  p35_v3             13   13   1.000  0.293  0.000  0.057   0.538  0.538  0.538  0.310      1  0.0769
  p35_v5             13   13   0.006  0.002  0.000  0.001   0.027  0.016  0.077  0.140      0  0.0000
  p35_v6             18   25   0.024  0.001  0.000  0.000   0.019  0.013  0.040  0.120      0  0.0000
